pred_01.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.527777777778
pred_02.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.6805555555557
pred_03.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.7916666666665
pred_04.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.9583333333335
pred_05.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.5694444444443
pred_06.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.3333333333335
pred_07.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.777777777778
pred_08.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.902777777778
pred_09.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.9583333333335
pred_10.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.9861111111113
pred_11.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.4166666666665
pred_12.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.8611111111113
pred_13.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.347222222222
pred_14.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4094.152777777778
pred_15.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.9305555555557
pred_16.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4094.0
pred_17.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4094.0416666666665
pred_18.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.9861111111113
pred_19.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4093.8611111111113
pred_20.png; Acc 0.0; Dice nan; clDice nan; 0-dim Betti 4094.277777777778

Average:
accuracy: 0.0
dice: nan
cldice: nan
0betti: 4093.8180555555555
